hostel_id,distance_to_center_km,rating,num_reviews,beds_in_room,breakfast_included,wifi,laundry,weekend,occupancy_rate,latitude,longitude,distance_to_transport_hub_km,distance_to_popular_places,neighbourhood_popularity_score,walkability_score,noise_level_index,sentiment_score,review_keywords_count,recent_sentiment_trend,days_until_checkin,surge_pricing_flag,competitor_average_price,competitor_availability,price_last_week,month,holiday_or_festival,special_event_flag,seasonal_index,hostel_age_years,kitchen_access,air_conditioning,locker_available,security_24h,female_only_dorm_available,common_area_count,room_area_sqft,demand_index,rating_reviews_interaction,distance_season_interaction,price_occupancy_ratio,room_density,amenities_score,location_quality,popularity_index,value_score,weekend_premium,sentiment_quality,booking_urgency,last_minute_multiplier,city_encoded,cluster_label
1,1.52,8.6,864,6,0,1,0,1,0.45,13.158712539639632,80.27005825168594,0.05,1.58,9.8,70.0,8.8,0.29,17,-0.23,40,0,591.31,0.42,677.4,6,0,0,1.1,20,1,0,1,0,1,2,372,0.5944432216108054,58.15947375961416,3.04,0.17857142857142858,0.016129032258064516,3,7.219,5.815947375961416,0.14285714285714285,0.45,2.4939999999999998,0,0.26359713811572677,2,1
2,0.29,7.7,144,4,1,1,0,0,0.6,15.295970132677777,74.17570898417932,1.29,0.22,4.5,43.0,9.6,0.88,16,-0.28,75,0,1151.76,0.47,901.21,2,0,0,0.7,36,1,1,1,1,0,3,369,0.5854072036018009,38.32084981663842,0.8699999999999999,0.46511627906976744,0.01084010840108401,6,5.514000000000001,3.8320849816638423,0.16216216216216217,0.0,6.776,0,0.0820849986238988,4,4
3,1.23,6.3,914,6,1,1,1,0,0.67,32.21145275494512,77.10157682118573,1.17,1.7,9.5,42.0,6.1,0.0,11,0.11,12,0,1371.05,0.69,1030.93,2,0,0,0.7,27,0,1,0,1,1,5,184,0.6184457228614307,42.95922161123578,2.46,0.3004484304932736,0.03260869565217391,5,6.564,4.2959221611235785,0.17857142857142858,0.0,0.0,0,0.6703200460356393,9,2
4,2.22,8.1,1162,10,0,1,1,0,0.67,10.815603596326254,76.25446530078497,2.83,0.09,4.4,70.0,7.1,0.31,48,-0.07,65,0,1128.94,0.51,904.78,12,0,0,0.9,49,0,0,0,1,0,4,126,0.7272581290645322,57.17594103540118,6.66,0.2080745341614907,0.07936507936507936,3,5.820999999999999,5.717594103540118,0.06,0.0,2.5109999999999997,0,0.11455884399268773,7,3
5,3.95,8.4,419,6,0,1,1,0,0.86,25.2711127246163,83.00874805613287,0.66,0.61,9.5,53.0,8.7,0.95,14,0.16,2,0,799.95,0.39,582.4,1,1,0,0.7,36,1,1,1,1,0,3,109,0.7379209604802401,50.738139574730276,11.850000000000001,0.17373737373737372,0.05504587155963303,6,5.869,5.073813957473027,0.16216216216216217,0.0,7.9799999999999995,1,0.9355069850316178,14,1
6,0.01,8.7,1455,8,0,1,1,0,0.67,17.393909570742498,78.41338129625564,0.49,2.81,7.6,41.0,4.4,-0.09,11,-0.26,10,0,916.39,0.38,1309.82,4,0,0,0.9,47,1,0,1,0,0,3,197,0.7045727863931965,63.36599959018269,0.01,0.6633663366336634,0.04060913705583756,4,6.757999999999999,6.336599959018269,0.08333333333333333,0.0,-0.7829999999999999,0,0.7165313105737893,5,1
7,1.89,7.4,1327,4,0,0,1,0,0.42,32.30059572094691,77.15386357582113,0.59,2.23,3.8,58.0,9.9,0.51,31,-0.07,4,1,1154.79,0.27,781.59,2,0,0,0.7,11,0,0,1,1,0,1,125,0.5527663831915959,53.21657704226921,1.89,0.1453287197231834,0.032,3,5.3839999999999995,5.32165770422692,0.25,0.0,3.7740000000000005,1,0.8751733190429475,9,2
8,1.06,8.1,1279,4,0,1,1,0,0.83,26.874551321640716,75.70020956100478,0.72,1.55,7.1,69.0,7.1,0.9,11,-0.16,59,1,1035.94,0.81,804.87,5,0,0,1.0,3,1,1,1,1,1,5,149,0.8029639819909954,57.95238439100066,3.18,0.4029126213592233,0.026845637583892617,6,6.89,5.795238439100066,1.5,0.0,7.29,0,0.1399224880243094,6,1
9,5.75,7.7,1734,8,1,1,0,1,0.93,13.020718817937617,80.30096798817391,1.83,3.07,5.2,64.0,4.8,0.94,28,0.14,1,0,935.36,0.43,1364.12,12,1,0,0.9,24,1,1,1,1,1,3,112,0.8764867433716858,57.43247273133339,17.25,0.13777777777777778,0.07142857142857142,6,5.071999999999999,5.743247273133339,0.24,0.93,7.2379999999999995,1,0.9672161004820059,2,2
10,3.77,8.6,1589,8,0,0,1,0,0.71,24.580496761236656,73.80667825181163,1.28,1.85,5.7,48.0,7.1,0.82,27,-0.16,76,1,584.15,0.7,1255.2,12,0,0,0.9,39,1,1,1,1,0,3,129,0.7709794897448724,63.39480793884278,7.54,0.1488469601677149,0.06201550387596899,5,5.111,6.339480793884278,0.125,0.0,7.052,0,0.07939393227707822,13,3
11,2.67,8.2,95,6,0,1,0,0,0.75,12.885406883359536,77.66000909822857,0.82,1.1,6.1,75.0,5.7,0.83,29,-0.03,63,0,1040.35,0.56,1186.9,4,0,0,0.9,10,1,1,1,0,0,5,350,0.6555047523761881,37.42765517003625,8.01,0.20435967302452315,0.017142857142857144,4,6.5169999999999995,3.742765517003625,0.36363636363636365,0.0,6.805999999999999,0,0.1224564282529819,1,4
12,0.97,8.0,565,12,0,1,0,1,0.5,13.122955801225942,80.36562462336151,0.94,5.85,6.0,83.0,2.0,0.58,48,0.19,12,0,322.4,0.7,500.96,1,0,0,0.7,26,1,1,1,1,1,4,355,0.596528264132066,50.708752625625465,2.91,0.25380710659898476,0.03380281690140845,5,7.6049999999999995,5.070875262562547,0.18518518518518517,0.5,4.64,0,0.6703200460356393,2,4
13,7.24,6.9,1875,10,0,1,1,0,0.53,25.321271653260386,83.04302095901969,0.93,1.78,7.6,81.0,8.2,0.06,40,0.25,53,1,972.06,0.36,1221.9,5,0,0,1.0,32,0,0,0,1,1,1,167,0.6365937968984493,52.004590194006575,7.24,0.06432038834951456,0.059880239520958084,3,5.364999999999999,5.2004590194006575,0.09090909090909091,0.0,0.414,0,0.17090171280152483,14,2
14,0.14,6.0,1408,12,0,1,0,0,0.54,25.316874961594568,83.0449391612394,7.18,1.38,8.4,64.0,6.1,0.68,37,0.13,11,0,1284.89,0.7,800.84,5,0,0,1.0,8,1,1,1,0,0,3,119,0.6368704352176088,43.50381307139208,0.42000000000000004,0.47368421052631576,0.10084033613445378,4,6.7299999999999995,4.350381307139208,0.4444444444444444,0.0,4.08,0,0.6930406200864415,14,2
15,0.35,6.7,1479,6,0,1,0,0,0.66,17.345089075910007,78.50213543907427,0.53,0.79,5.3,48.0,8.2,0.97,41,-0.04,17,1,515.7,0.73,530.33,5,1,0,1.0,47,1,1,1,1,1,5,111,0.6829739869934968,48.908642357279675,0.7,0.4888888888888889,0.05405405405405406,5,6.021999999999999,4.8908642357279675,0.10416666666666667,0.0,6.499,0,0.5674136687970038,5,2
16,1.49,6.4,387,4,1,1,1,0,0.96,26.993334687506348,75.79095046228264,3.41,3.49,9.5,70.0,2.4,0.43,46,0.04,17,1,437.05,0.18,1389.97,2,0,0,0.7,13,1,1,1,1,1,2,176,0.71471935967984,38.150434173588955,4.47,0.38554216867469876,0.022727272727272728,7,7.472,3.8150434173588956,0.5,0.0,2.7520000000000002,0,0.5674136687970038,6,4
17,0.4,7.7,1423,8,1,1,0,0,0.71,15.21739725836991,74.10525085328555,2.46,0.53,9.6,93.0,5.8,0.11,43,0.11,16,1,1464.28,0.17,489.26,4,0,1,0.9,3,0,1,1,1,0,4,191,0.6873711855927963,55.911433208183794,0.4,0.5071428571428571,0.041884816753926704,5,8.264,5.59114332081838,1.25,0.0,0.847,0,0.5866462195100318,4,1
18,9.4,8.3,1690,8,0,1,0,0,0.52,17.45896480177741,78.55031897900918,0.01,0.01,3.3,68.0,7.9,0.49,11,0.22,38,0,1312.16,0.89,1314.13,5,0,0,1.0,15,1,1,1,1,0,1,317,0.6560845422711357,61.69452539585822,9.4,0.05,0.025236593059936908,5,3.589,6.169452539585822,0.3125,0.0,4.067,0,0.28176928909495835,5,0
19,4.8,6.8,1084,4,0,1,1,0,0.56,17.360341040483185,78.42311352245561,9.97,0.33,3.1,52.0,9.9,0.63,34,0.23,85,1,662.4,0.19,300.58,11,0,0,0.8,21,1,1,1,0,1,2,91,0.5664542271135569,47.52747980862701,4.8,0.09655172413793105,0.04395604395604396,5,3.253,4.752747980862701,0.22727272727272727,0.0,4.284,0,0.05881647164242988,5,4
20,0.9,9.6,251,8,0,1,1,1,0.63,13.047724703195003,77.50584498316483,2.82,0.17,6.0,46.0,9.0,0.05,35,0.26,12,0,550.29,0.65,781.71,11,1,0,0.8,42,1,1,1,1,0,4,350,0.5951125562781391,53.08251924010966,0.9,0.3315789473684211,0.022857142857142857,6,5.627999999999999,5.308251924010966,0.13953488372093023,0.63,0.48,0,0.6703200460356393,1,1
21,2.66,6.0,1327,2,0,1,0,0,0.77,22.61835229166648,88.45347876453694,2.29,0.58,7.1,97.0,8.8,0.66,49,0.19,44,0,700.85,0.7,332.89,6,0,0,1.1,29,0,1,1,1,1,3,266,0.7207663831915958,43.148575980218276,7.98,0.21038251366120217,0.007518796992481203,4,6.923,4.314857598021828,0.13333333333333333,0.0,3.96,0,0.23069318225496285,8,2
22,12.11,8.9,929,6,1,1,1,0,0.66,26.83323414533241,75.68805563704069,1.04,2.62,4.9,85.0,3.2,0.5,41,-0.21,18,1,817.47,0.15,1303.7,7,0,0,1.2,47,1,1,1,1,0,1,267,0.6939464732366183,60.83314281671098,24.22,0.050343249427917625,0.02247191011235955,7,3.9730000000000003,6.0833142816710986,0.14583333333333334,0.0,4.45,0,0.5488116360940265,6,0
23,6.47,8.4,1596,6,0,1,0,0,0.64,28.770407257301876,77.19786586437517,1.62,1.58,4.8,59.0,8.5,0.53,25,0.15,87,1,1285.3,0.7,438.48,10,0,0,0.9,27,0,0,1,0,0,4,151,0.7376798399199599,61.95741004500611,12.94,0.08567603748326641,0.039735099337748346,2,4.276999999999999,6.1957410045006105,0.07142857142857142,0.0,4.452000000000001,0,0.05502322005640723,3,3
24,2.75,7.4,275,8,1,1,1,0,0.74,17.421435366739903,78.53247067397476,0.58,0.28,7.7,58.0,2.5,0.17,38,0.19,18,0,587.04,0.44,1040.41,11,0,0,0.8,30,0,1,1,0,0,4,339,0.6155137568784392,41.59096640630691,5.5,0.19733333333333333,0.02359882005899705,5,6.647,4.1590966406306915,0.16129032258064516,0.0,1.2580000000000002,0,0.5488116360940265,5,4
25,7.02,6.2,1153,6,1,1,0,0,0.55,29.99336038258307,78.23329978393957,0.07,2.33,7.2,94.0,2.8,-0.01,25,0.23,20,1,1165.01,0.32,994.34,3,0,0,0.8,14,1,1,1,1,0,4,106,0.6213576788394197,43.71613457182188,21.06,0.0685785536159601,0.05660377358490566,6,6.367,4.371613457182188,0.4,0.0,-0.062000000000000006,0,0.513417119032592,12,0
26,13.58,8.4,721,8,1,1,1,1,0.45,27.10344053642193,78.04766396861726,3.62,1.05,4.2,51.0,2.0,0.55,44,0.25,23,1,1415.15,0.63,1156.98,3,0,0,0.8,41,0,1,1,1,1,4,180,0.604136068034017,55.28901116669974,40.74,0.0308641975308642,0.044444444444444446,6,2.234,5.5289011166699735,0.14285714285714285,0.45,4.620000000000001,0,0.46455902036091146,0,0
27,4.08,7.5,1950,6,1,1,0,0,0.41,22.59972561116714,88.42747503143703,4.54,1.08,9.2,72.0,8.7,0.5,24,0.01,29,1,755.41,0.77,1121.57,10,0,0,0.9,15,0,1,1,0,1,2,260,0.6840975487743872,56.820730054673334,12.24,0.08070866141732283,0.023076923076923078,4,5.952,5.682073005467333,0.25,0.0,3.75,0,0.38034875658925854,8,2
28,0.2,9.6,1281,8,0,1,0,0,0.55,28.736620100576054,77.0515724111973,0.35,0.67,7.8,83.0,2.0,0.21,38,0.09,47,0,331.26,0.56,335.69,12,0,0,0.9,46,1,1,1,1,1,1,118,0.7061640820410204,68.6992957198139,0.4,0.45833333333333337,0.06779661016949153,5,8.255,6.86992957198139,0.10638297872340426,0.0,2.016,0,0.20873982339007963,3,1
29,1.54,8.1,79,12,1,1,0,0,0.45,30.13623028656752,78.32177913665592,3.09,3.0,5.5,64.0,2.2,0.16,12,-0.29,34,1,1293.14,0.8,727.24,2,1,1,0.7,47,1,1,1,1,0,3,354,0.5309039519759879,35.494415740858436,4.62,0.17716535433070865,0.03389830508474576,6,6.529,3.5494415740858436,0.125,0.0,1.296,0,0.3219582715376759,12,4
30,5.46,9.6,1886,8,1,1,1,0,0.6,26.956449080155,75.84817392500165,2.7,0.57,7.8,42.0,3.2,0.22,36,0.04,58,0,1150.1,0.12,654.78,9,0,0,1.0,46,1,1,1,0,0,1,196,0.8166943471735868,72.41033803553808,16.38,0.09287925696594428,0.04081632653061224,6,5.0920000000000005,7.241033803553807,0.1276595744680851,0.0,2.112,0,0.14466517663899506,6,1
31,0.79,6.8,66,12,1,1,1,0,0.86,19.10790399093399,72.82757092602507,0.39,0.15,3.8,54.0,6.2,0.39,34,-0.02,16,0,478.88,0.69,1370.17,1,1,0,0.7,42,1,0,1,0,0,2,93,0.5846033016508255,28.591909811858567,0.79,0.48044692737430167,0.12903225806451613,5,5.984000000000001,2.859190981185857,0.11627906976744186,0.0,2.652,0,0.5866462195100318,10,4
32,5.33,8.8,1415,2,0,1,0,0,0.83,30.140147780349285,78.1759852708756,1.1,0.54,6.3,94.0,8.9,0.97,33,0.28,47,1,1016.29,0.24,1152.38,3,0,0,0.8,44,1,0,1,1,1,1,295,0.7675707853926965,63.849203213432254,5.33,0.1311216429699842,0.006779661016949152,4,5.981,6.384920321343225,0.08888888888888889,0.0,8.536,0,0.20873982339007963,12,3
33,0.38,8.3,48,6,1,1,1,0,0.77,24.600417141178475,73.65332445691162,1.1,1.88,4.2,71.0,4.8,0.72,9,0.24,54,0,1289.78,0.33,1078.76,3,0,0,0.8,14,1,0,1,1,1,2,204,0.6318024012006003,32.3021084743182,0.76,0.5579710144927537,0.029411764705882353,6,6.765999999999999,3.2302108474318203,0.4,0.0,5.976,0,0.16529888822158653,13,4
34,0.14,8.8,810,4,0,1,0,0,0.91,22.52475827710489,88.30402928177789,2.85,1.61,3.3,89.0,5.9,0.82,34,0.18,8,0,517.24,0.56,786.38,8,0,0,1.2,25,1,0,1,1,1,2,360,0.7390405202601302,58.94475887621564,0.14,0.7982456140350876,0.011111111111111112,4,6.913,5.894475887621564,0.15384615384615385,0.0,7.216,0,0.7659283383646487,8,3
35,1.45,6.8,1476,4,1,1,1,0,0.57,32.322075322746144,77.10174809083509,3.64,0.31,5.4,73.0,2.5,0.41,16,-0.27,76,0,567.48,0.32,1280.07,12,0,0,0.9,27,1,0,1,1,1,2,168,0.6096738369184592,49.62482432121338,1.45,0.23265306122448975,0.023809523809523808,6,6.721,4.962482432121338,0.21428571428571427,0.0,2.788,0,0.07939393227707822,9,2
36,0.11,8.5,1051,8,0,1,0,0,0.93,29.9905428061864,78.31280147693104,0.2,0.18,4.1,97.0,3.4,0.43,43,-0.06,13,0,542.14,0.23,318.5,6,0,1,1.1,47,1,0,0,1,0,2,385,0.7621525762881441,59.14681134303007,0.11,0.8378378378378378,0.02077922077922078,3,7.837,5.914681134303008,0.0625,0.0,3.655,0,0.6483443410015097,12,3
37,9.46,7.9,1985,2,1,1,1,0,0.64,18.4937123439743,73.83269498489169,1.66,1.62,7.4,95.0,2.2,0.05,31,0.12,25,0,1497.0,0.81,551.28,3,1,0,0.8,44,1,1,1,1,0,4,190,0.7915992996498249,59.99163497238044,28.380000000000003,0.06118546845124283,0.010526315789473684,7,5.606,5.999163497238044,0.15555555555555556,0.0,0.395,0,0.4345982085070782,11,0
38,5.25,8.8,741,6,0,1,1,1,0.64,19.121774058619437,72.95457723349078,2.87,1.69,7.7,69.0,4.7,0.67,17,-0.28,51,1,575.43,0.83,1064.51,1,0,0,0.7,2,0,1,1,1,0,1,158,0.6241370685342672,58.162273339872954,5.25,0.1024,0.0379746835443038,5,5.7780000000000005,5.816227333987295,1.6666666666666667,0.64,5.896000000000001,0,0.18268352405273466,10,1
39,4.84,7.2,834,6,0,1,1,0,0.64,25.303031208229932,82.92433422113304,3.09,0.68,4.0,59.0,6.3,0.31,14,-0.16,84,1,620.3,0.13,859.23,3,0,0,0.8,17,1,1,1,1,0,5,249,0.5854417208604302,48.43750841892616,4.84,0.10958904109589042,0.024096385542168676,6,4.679,4.843750841892616,0.3333333333333333,0.0,2.232,0,0.06081006262521797,14,4
40,2.98,9.4,765,6,0,1,0,1,0.46,25.222566881496,82.96454643301999,0.32,2.78,3.2,76.0,3.6,0.69,40,0.23,43,0,357.51,0.5,887.19,4,0,0,0.9,15,1,0,1,1,0,2,101,0.5725382691345674,62.42711239556156,2.98,0.11557788944723618,0.0594059405940594,4,6.134,6.242711239556156,0.25,0.46,6.486,0,0.23851255385430242,14,3
41,0.73,6.3,361,6,0,1,0,0,0.99,10.763696180623242,76.29890348578536,1.49,5.74,8.5,80.0,8.6,0.29,35,-0.22,83,0,1479.93,0.26,757.98,1,0,1,0.7,27,0,0,1,1,1,2,235,0.7211180590295146,37.11735853450236,2.19,0.5722543352601156,0.02553191489361702,3,7.371999999999999,3.711735853450236,0.10714285714285714,0.0,1.8269999999999997,0,0.06287122660066728,7,4
42,2.19,9.1,1849,8,0,1,1,0,0.48,24.61512747382766,73.78799298993437,3.9,0.35,3.0,70.0,9.8,-0.07,20,-0.27,10,0,596.1,0.79,483.1,3,0,0,0.8,10,1,1,1,0,0,1,296,0.719992496248124,68.45876235445857,4.38,0.15047021943573669,0.02702702702702703,5,5.172999999999999,6.845876235445857,0.45454545454545453,0.0,-0.637,0,0.7165313105737893,13,3
43,2.73,9.3,1331,4,0,1,0,0,0.6,30.17987291988106,78.27252422032387,0.77,1.29,5.4,89.0,2.1,0.01,43,0.05,50,0,1170.28,0.47,482.84,4,0,0,0.9,43,1,0,1,0,0,4,80,0.7521665832916459,66.90826271523312,8.19,0.16085790884718498,0.05,3,7.143999999999999,6.690826271523312,0.06818181818181818,0.0,0.09300000000000001,0,0.18887560283756183,12,3
44,2.23,9.1,292,6,1,1,0,0,0.59,30.0972727271669,78.24230492556248,1.11,0.01,6.5,51.0,1.2,0.77,49,0.27,41,1,331.64,0.48,623.93,7,0,0,1.2,46,1,0,1,1,0,3,340,0.6382146073036516,51.68957074205532,6.6899999999999995,0.1826625386996904,0.01764705882352941,5,6.43,5.168957074205531,0.10638297872340426,0.0,7.007,0,0.25495539602650996,12,1
45,0.9,7.9,1619,8,1,0,0,0,0.44,10.851851563604754,76.3445030156944,3.26,1.87,8.7,60.0,8.1,0.11,40,0.2,61,0,1240.08,0.6,815.14,4,0,0,0.9,9,0,0,1,1,0,2,191,0.6049809904952477,58.3824332829888,0.9,0.23157894736842105,0.041884816753926704,3,6.634,5.83824332829888,0.3,0.0,0.869,0,0.13089846490974433,7,2
46,2.17,7.7,119,8,1,1,0,0,0.49,27.14036504261125,77.97014928493752,0.19,0.8,8.9,81.0,2.7,0.12,30,0.28,34,0,1200.73,0.14,1206.54,1,1,0,0.7,3,1,0,1,1,1,4,178,0.5089059529764882,36.863686419421754,4.34,0.15457413249211358,0.0449438202247191,5,7.77,3.6863686419421753,1.25,0.0,0.9239999999999999,0,0.3219582715376759,0,4
47,2.03,9.8,1026,6,0,1,0,1,0.43,27.128038134773213,77.92398473992651,3.93,0.32,8.1,55.0,4.2,0.92,48,0.15,63,1,400.98,0.2,791.52,9,0,0,1.0,24,1,0,1,1,1,4,154,0.5986513256628315,67.95709265729987,2.03,0.1419141914191419,0.03896103896103896,4,6.348000000000001,6.795709265729987,0.16,0.43,9.016000000000002,0,0.1224564282529819,0,1
48,16.83,6.9,1213,10,0,1,1,0,0.58,10.754696996351257,76.26010842150205,0.75,2.09,4.7,66.0,4.5,0.59,24,-0.04,17,0,447.12,0.5,1287.57,6,0,0,1.1,1,0,0,1,1,0,5,222,0.5903606803401701,49.001564204174166,16.83,0.03252944475602917,0.04504504504504504,4,1.8460000000000003,4.900156420417416,2.0,0.0,4.071,0,0.5674136687970038,7,0
49,6.83,8.1,1971,6,0,1,1,0,0.92,27.131290973528092,78.06511866129959,0.0,2.5,8.0,98.0,9.2,-0.06,38,0.27,13,0,654.13,0.87,432.57,9,0,0,1.0,38,1,1,0,1,0,2,309,0.8781985992996498,61.4531086348169,13.66,0.11749680715197958,0.019417475728155338,5,6.071,6.14531086348169,0.1282051282051282,0.0,-0.486,0,0.6483443410015097,0,2
50,1.87,8.5,553,6,1,1,1,0,0.6,12.961422088173052,77.5007561663507,0.53,0.18,4.7,78.0,6.9,-0.03,41,-0.04,48,1,725.6,0.77,598.95,7,0,0,1.2,6,1,1,1,0,0,4,153,0.620327663831916,53.69589983735192,3.74,0.20905923344947733,0.0392156862745098,6,6.476,5.3695899837351915,0.8571428571428571,0.0,-0.255,0,0.20189651799465538,1,4
51,2.93,8.7,1779,2,1,1,0,1,0.47,30.02648995660979,78.28477644899792,0.19,0.06,4.5,97.0,1.4,0.13,12,-0.09,68,0,1240.2,0.81,377.58,4,0,0,0.9,5,1,0,1,1,1,5,112,0.7269889944972486,65.11400719658933,8.790000000000001,0.11959287531806614,0.017857142857142856,5,7.272,6.5114007196589325,0.8333333333333334,0.47,1.131,0,0.10365712861152786,12,3
52,4.13,6.8,1827,6,0,1,1,1,0.79,13.000169597696289,80.28959280970545,0.19,0.61,6.8,83.0,1.1,0.51,8,-0.03,16,1,373.43,0.21,861.03,1,0,0,0.7,4,1,0,0,1,1,4,267,0.7727913956978489,51.074648713695844,8.26,0.15399610136452244,0.02247191011235955,4,6.982000000000001,5.107464871369585,0.8,0.79,3.468,0,0.5866462195100318,2,2
