hostel_id,city,distance_to_center_km,rating,num_reviews,room_type,beds_in_room,breakfast_included,wifi,laundry,season,weekend,occupancy_rate,latitude,longitude,distance_to_transport_hub_km,distance_to_popular_places,neighbourhood_popularity_score,walkability_score,noise_level_index,sentiment_score,review_keywords_count,topic_category,recent_sentiment_trend,days_until_checkin,surge_pricing_flag,competitor_average_price,competitor_availability,price_last_week,month,holiday_or_festival,special_event_flag,seasonal_index,hostel_age_years,kitchen_access,air_conditioning,locker_available,security_24h,female_only_dorm_available,common_area_count,room_area_sqft,bathroom_type,price_per_night
1,Chennai,1.52,8.6,864,private,6,0,1,0,shoulder,1,0.45,13.158712539639632,80.27005825168594,0.05,1.58,9.8,70.0,8.8,0.29,17,staff,-0.23,40,0,591.31,0.42,677.4,6,0,0,1.1,20,1,0,1,0,1,2,372,ensuite,1749.21
2,Goa,0.29,7.7,144,private,4,1,1,0,peak,0,0.6,15.295970132677777,74.17570898417932,1.29,0.22,4.5,43.0,9.6,0.88,16,location,-0.28,75,0,1151.76,0.47,901.21,2,0,0,0.7,36,1,1,1,1,0,3,369,ensuite,1846.25
3,Manali,1.23,6.3,914,private,6,1,1,1,shoulder,0,0.67,32.21145275494512,77.10157682118573,1.17,1.7,9.5,42.0,6.1,0.0,11,value,0.11,12,0,1371.05,0.69,1030.93,2,0,0,0.7,27,0,1,0,1,1,5,184,shared,1147.42
4,Kerala,2.22,8.1,1162,shared,10,0,1,1,peak,0,0.67,10.815603596326254,76.25446530078497,2.83,0.09,4.4,70.0,7.1,0.31,48,cleanliness,-0.07,65,0,1128.94,0.51,904.78,12,0,0,0.9,49,0,0,0,1,0,4,126,ensuite,1099.08
5,Varanasi,3.95,8.4,419,shared,6,0,1,1,peak,0,0.86,25.2711127246163,83.00874805613287,0.66,0.61,9.5,53.0,8.7,0.95,14,location,0.16,2,0,799.95,0.39,582.4,1,1,0,0.7,36,1,1,1,1,0,3,109,shared,1305.73
6,Hyderabad,0.01,8.7,1455,private,8,0,1,1,low,0,0.67,17.393909570742498,78.41338129625564,0.49,2.81,7.6,41.0,4.4,-0.09,11,location,-0.26,10,0,916.39,0.38,1309.82,4,0,0,0.9,47,1,0,1,0,0,3,197,ensuite,1196.69
7,Manali,1.89,7.4,1327,shared,4,0,0,1,low,0,0.42,32.30059572094691,77.15386357582113,0.59,2.23,3.8,58.0,9.9,0.51,31,location,-0.07,4,1,1154.79,0.27,781.59,2,0,0,0.7,11,0,0,1,1,0,1,125,shared,716.95
8,Jaipur,1.06,8.1,1279,shared,4,0,1,1,peak,0,0.83,26.874551321640713,75.70020956100478,0.72,1.55,7.1,69.0,7.1,0.9,11,staff,-0.16,59,1,1035.94,0.81,804.87,5,0,0,1.0,3,1,1,1,1,1,5,149,shared,2266.24
9,Chennai,5.75,7.7,1734,private,8,1,1,0,peak,1,0.93,13.020718817937617,80.30096798817391,1.83,3.07,5.2,64.0,4.8,0.94,28,cleanliness,0.14,1,0,935.36,0.43,1364.12,12,1,0,0.9,24,1,1,1,1,1,3,112,ensuite,2620.9
10,Udaipur,3.77,8.6,1589,shared,8,0,0,1,shoulder,0,0.71,24.580496761236656,73.80667825181163,1.28,1.85,5.7,48.0,7.1,0.82,27,noise,-0.16,76,1,584.15,0.7,1255.2,12,0,0,0.9,39,1,1,1,1,0,3,129,shared,1344.61
11,Bangalore,2.67,8.2,95,shared,6,0,1,0,peak,0,0.75,12.885406883359535,77.66000909822857,0.82,1.1,6.1,75.0,5.7,0.83,29,cleanliness,-0.03,63,0,1040.35,0.56,1186.9,4,0,0,0.9,10,1,1,1,0,0,5,350,ensuite,1546.07
12,Chennai,0.97,8.0,565,shared,12,0,1,0,peak,1,0.5,13.122955801225942,80.36562462336151,0.94,5.85,6.0,83.0,2.0,0.58,48,location,0.19,12,0,322.4,0.7,500.96,1,0,0,0.7,26,1,1,1,1,1,4,355,shared,1122.54
13,Varanasi,7.24,6.9,1875,shared,10,0,1,1,low,0,0.53,25.321271653260386,83.04302095901969,0.93,1.78,7.6,81.0,8.2,0.06,40,cleanliness,0.25,53,1,972.06,0.36,1221.9,5,0,0,1.0,32,0,0,0,1,1,1,167,ensuite,752.32
